name,reviews,address
Curug Cipanas,5791,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
Curug Maribaya,5134,"Kampung Cikondang Lamajang Pangalengan, Cibodas, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
Curug Cikaso,2511,"Desa Ciniti, Cibitung, Sukabumi Regency, West Java 43172"
Curug Cinulang,2402,"Jl. Cicalengka Sindang Wangi No.km.07, Tanjungwangi, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395"
Curug Tilu Leuwi Opat,1738,"Jl. Ciwangun Indah Camp, Cihanjuang Rahayu, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559"
Curug Layung & Camping Ground,1485,"Wisata Dusun bambu ke atas, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551"
Wisata Air Curug Tilu Rancabali,1419,"Patengan, Kabupaten Bandung, Jawa Barat"
Curug Ceret (Naringgul),1318,"Jl. Ciwidey - Cidaun, Naringgul, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274"
Curug Dago,1078,"Jl. Dagopojok, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135"
Curug Malela,1047,"Sindangjaya, Kec. Gununghalu, Kabupaten Bandung Barat, Jawa Barat"
Camping Curug Cipanas,937,"Jl. Nagrak Kulon No.38, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
Curug Pelangi,861,"Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551"
Curug Cileat,816,"Kampung cibago, Mayang, Kec. Cisalak, Kabupaten Subang, Jawa Barat 41283"
Curug Cilengkrang,737,"Cilengkrang, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat 40615"
"Air Terjun Curug Ciismun Kebun Raya Cibodas, BRIN",652,
Curug Bandung Loji Karawang,607,
Curug Jompong,579,
CURUG BATU TEMPLEK CISANGGARUNG,568,
Curug Omas Tahura,475,
Curug Malela,422,
Air Terjun Panas,400,
Curug Sawer Cililin,376,
Curug Mandala,372,
Curug Penganten,362,
Curug Bugbrug,318,
Curug Aseupan,304,
Curug Cipanji,286,
Curug Jaksa,277,
Air Terjun Anom,273,
Air Terjun Curug Nyogong,251,
Curug Cibadak,248,
Curug Luhur Cibodas,239,
Curug Sigay,174,
Air Terjun Marbella,138,
Curug Awi Langit,132,
Curug Putri,127,
Curug Cipalasari,125,
Curug Panyandaan,108,
Curug Cipelah,104,
Curug Panganten Kembar,103,
Air Terjun Cibuni Racun,97,
Curug Madi Kamojang,97,
Air Terjun Cisewu,95,
Curug Bentang Padjadjaran,59,
Curug Cukang Rahong,54,
curug lalay padaasih,47,
Curug Panganten,35,
Curug Aleh,5,
